All,Vše
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu Můj účet &gt; Objednat podle SKU"
"Load a list of SKUs","Načíst seznam SKU"
"Order by SKU Template","Šablona objednání podle SKU"
"Please correct the data sent.","Opravte zaslaná data prosím."
"Entity type model '%1' is not found","Typ entity modelu '%1' nebyl nalezen"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Typ modelu entity musí být instancí z \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","K exportu nejsou dostupné žádné typy produktů"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","Třída %1 neimplementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Obchodní pravidlo"
"Index sales rule","Index pravidel prodeje"
"Related Search Terms","Související hledané výrazy"
"Add New Search Term","Přidat nový hledaný výraz"
"Missing search engine parameter.","Chybějící parametr vyhledávání."
"Successful! Test again?","Úspěšně! Testovat znovu?"
"Connection failed! Test again?","Spojení selhalo! Testovat znovu?"
"Enable Search Recommendations","Zapnout doporučení hledání"
"When you enable this option your site may slow down.","Zapnutí této funkce může zpomalit stránky."
"Search Recommendations Count","Počet doporučených hlednání"
"Show Results Count for Each Recommendation","Zobrazit počet výsledků pro každé doporučení"
"Enable Search Suggestions","Zapnout návrhy vyhledávání"
"Search Suggestions Count","Počet návrhů hledání"
"Show Results Count for Each Suggestion","Zobrazit počet výsledků pro každý návrh"
"Related search terms","Související hledané výrazy"
"Did you mean","Měli jste na mysli"
"Search Query","Vyhledávací dotaz"
Store,Obchod
Results,Výsledky
Uses,Použití
"Redirect URL","Přesměrování URL"
"Suggested Term","Navrhovaný termín"
Yes,Ano
"RPC call failed, connection timed out after %time_out.","RPC volání selhalo, připojení vypršelo po %time_out."
"Message has been rejected: %1","Zpráva byla odmítnuta: %1"
"Error while checking if topic is synchronous","Při kontrole, je-li téma je synchronní, nastala chyba"
"Subscription status","Stav předplatného"
"Sorry, there has been an error processing your request. Please try again later.","Omlouváme se, došlo k chybě při zpracování vašeho požadavku. Opakujte akci později."
"Cron settings can't be saved","Nelze uložit nastavení cron"
"There was an error save new configuration value.","Došlo k chybě zápisu do konfiguračního souboru."
"Please select an industry.","Vyberte odvětví."
"--Please Select--","– Vyberte –"
"These arguments can't be empty ""%1""","Tyto argumenty nemohou být prázdné ""%1"""
"Cannot find predefined integration user!","Nelze najít předdefinovaného uživatele integrace!"
"File is not ready yet.","Soubor zatím není připraven."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Vaše základní adresa URL byla změněna a vaše přehledy se aktualizují. Po zpracování této změny bude k dispozici pokročilý náhled. Prosím zkuste to znovu později."
"Failed to synchronize data to the Magento Business Intelligence service. ","Nelze synchronizovat data se službou Magento Business Intelligence. "
"Retry Synchronization","Opakujte synchronizaci"
TestMessage,TestovacíZpráva
"Apps and Games","Aplikace a Hry"
"Athletic/Sporting Goods","Sportovní zboží"
"Art and Design","Umění a Design"
"Advanced Reporting","Rozšířené přehledy"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Získejte nové informace a získejte přehled o výkonu své firmy pomocí našeho dynamického produktu, objednávky a zákaznických přehledů šitých na míru vašim zákaznickým datům."
Analytics,Analytika
Configuration,Nastavení
"Time of day to send data","Čas pro odeslání dat"
Industry,Průmysl
"In order to personalize your Advanced Reporting experience, please select your industry.","Chcete-li si přizpůsobit své pokročilé možnosti vytváření přehledů, vyberte své odvětví."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Získejte více informací od Magento Business Intelligence</strong>"
"Baby/Children’s Apparel, Gear and Toys","Oblečení pro děti, děti, hračky a hračky"
"Beauty and Cosmetics","Krása a kosmetika"
"Books, Music and Magazines","Knihy, Hudba a Časopisy"
"Crafts and Stationery","Řemesla a papírnictví"
"Consumer Electronics","Spotřební Elektronika"
"Fashion Apparel and Accessories","Módní oblečení a doplňky"
"Food, Beverage and Grocery","Potraviny a nápoje"
"Home Goods and Furniture","Zboží pro domácnost a nábytek"
"Home Improvement","Domácí zlepšení"
"Jewelry and Watches","Šperky a hodinky"
"Office Supplies","Zboží do kanceláře"
"Outdoor and Camping Gear","Outdoor a kempování"
"Pet Goods","Zboží pro domácí mazlíčky"
"Pharma and Medical Devices","Zdravotnické prostředky"
"Technology B2B","Technologie B2B"
Done,Hotovo
Retry,Opakovat
"'Action Details - #' .","'Detaily akce - #' ."
"%1 item(s) have been scheduled for update.""","Aktualizace% 1 položek byla naplánována. “"
"Bulk Actions Log","Protokol hromadných akcí"
Details,Podrobnosti
"View Details","Zobrazit podrobnosti"
"Pending, in queue...","Čeká ve frontě..."
"Something went wrong.","Něco se pokazilo."
"Action Log","Protokol akcí"
"Bulk Actions","Hromadné operace"
Summary,Souhrn
"Start Time","Čas zahájení"
Status,Stav
"Meta Information","Meta informace"
Error,Chyba
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Při kompilaci seznamu povolených zdrojů nastala chyba. Více informací naleznete v protokolu výjimek."
"You created the order.","Objednávka byla vytvořena."
"Order saving error: %1","Chyba při ukládání objednávky: %1"
"Please choose a payment method.","Zvolte způsob platby prosím."
"We can't process your order right now. Please try again later.","Vaši objednávku nelze momentálně zpracovat. Opakujte akci později prosím."
"An error occurred on the server. Please try to place the order again.","Na serveru došlo k chybě. Zkuste provést objednávku znovu."
"Credit Card: xxxx-%1","Číslo karty: xxxx-%1"
"amount %1","částka %1"
failed.,chyba.
successful.,úspěšná.
"Authorize.Net Transaction ID %1.","Authorize.Net transakce ID %1."
authorize,schválit
"authorize and capture","schválit a získat"
capture,získat
refund,vrátit
void,anulovat
"Gateway error: %1","Chyba brány: %1"
"Something went wrong in the payment gateway.","V platební bráně nastala chyba."
"Invalid amount for capture.","Neplatná částka pro získání."
"Payment capturing error.","Při získání platby nastala chyba."
"Invalid transaction ID.","Neplatné ID transakce."
"Payment voiding error.","Při anulování platby nastala chyba."
"Invalid amount for refund.","Chybná částka ke vrácení."
"Payment refunding error.","Při vrácení platby nastala chyba."
"The transaction was declined because the response hash validation failed.","Transakce byla zamítnuta, protože reakce na ověřovací algoritmus selhala."
"This payment didn't work out because we can't find this order.","Platbu nelze zpracovat, protože tuto objednávku nelze najít."
"There was a payment authorization error.","Při schválení platby nastala chyba."
"Please enter a transaction ID to authorize this payment.","Ke schválení této platby zadejte ID transakce."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Něco se pokazilo: zaplacená částka neodpovídá hodnotě objednávky. Opravte hodnotu prosím a opakujte akci."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakce %1 byla schválena. Částka %2. Stav transakce je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakce %1 byla anulována/odmítnuta. Stav transakce je ""%2"". Částka %3."
"Authorize Only","Pouze schválit"
"Authorize and Capture","Schválit a získat"
"Unable to get transaction details. Try again later.","Podrobnosti transakce nelze získat. Opakujte akci později."
"Electronic payments save the trees.","Elektronické platby chrání stromy."
"Credit Card Type","Typ platební karty"
"Please Select",Vyberte
"Credit Card Number","Číslo platební karty"
"Expiration Date","Datum expirace"
"Card Verification Number","Ověřovací číslo karty"
"Fraud Detection ","Detekce podvodů "
"FDS Filter Action","Akce filtru FDS"
"AVS Response","AVS odpověď"
"Card Code Response","Odpověď kódu karty"
"CAVV Response","CAVV odpověď"
"Fraud Filters","Filtry podvodů"
"Place Order",Objednat
"Sorry, but something went wrong. Please contact the seller.","Omlouváme se, ale něco se pokazilo. Kontaktujte naší zákaznickou linku."
Enabled,Zapnuto
"Payment Action","Platební akce"
Title,Název
"Transaction Key","Transakční klíč"
"Merchant MD5","MD5 obchodníka"
"New Order Status","Stav nové objednávky"
"Test Mode","Testovací režim"
"Gateway URL","URL brány"
"Transaction Details URL","URL detailů transakce"
"Accepted Currency","Akceptovaná měna"
Debug,"Ladící režim"
"Email Customer","E-mail zákazníka"
"Merchant's Email","E-mail obchodníka"
"Credit Card Types","Typy platebních karet"
"Credit Card Verification","Ověření platební karty"
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Minimum Order Total","Minimální hodnota objednávky"
"Maximum Order Total","Maximální hodnota objednávky"
"Sort Order","Řadit podle"
"Cannot place order.","Objednávku nelze vytvořit."
"Unable to place order. Please try again later.","Objednávku se nepodařilo odeslat, zkuste to prosím později."
"A server error stopped your order from being placed. Please try to place your order again.","Chyba serveru zastavila zadávání objednávky. Zkuste prosím objednávku znovu zadat."
"The transaction details are unavailable. Please try again later.","Podrobnosti o transakcích nejsou dostupné. Prosím, zkuste to opět později."
Environment,Prostředí
"Transaction has been declined. Please try again later.","Transakce byla odmítnuta, opakujte akci později prosím."
options,možnosti
"Select all","Vybrat vše"
"Deselect all","Zrušit označení všech"
"B2B Features","B2B funkce"
"Invalid Form Key. Please refresh the page.","Neplatný klíč formuláře. Obnovte stránku prosím."
"You entered an invalid Secret Key. Please refresh the page.","Zadali jste neplatný tajný klíč. Obnovte stránku prosím."
"Cache Storage Management","Správa úložiště mezipaměti"
"Flush Magento Cache","Vyprázdnit mezipaměť Magenta"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Úložiště mezipaměti může obsahovat další data. Skutečně ji chcete vymazat?"
"Flush Cache Storage","Vyprázdnit úložiště mezipaměti"
Invalidated,Neplatná
Orders,Objednávky
Amounts,Částky
Bestsellers,Nejprodávanější
"Most Viewed Products",Nejsledovanější
"New Customers","Noví zákazníci"
Customer,Zákazník
Guest,Host
Items,Položky
Total,Celkem
"Lifetime Sales","Celkový obrat"
"Average Order","Průměrná hodnota objednávky"
Average,Průměr
Views,Zobrazeno
Revenue,Tržba
Tax,DPH
Shipping,Přepravné
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"All Files","Všechny soubory"
"Reset to Default","Obnovit výchozí nastavení"
"All Store Views","Všechna zobrazení obchodu"
"What is this?","Co to je?"
"Save Account","Uložit účet"
"My Account","Můj účet"
"Account Information","Údaje účtu"
"User Name","Uživatelské jméno"
"First Name",Jméno
"Last Name",Příjmení
Email,E-mail
"User Email","E-mail uživatele"
"New Password","Nové heslo"
"Password Confirmation","Potvrzení hesla"
"Interface Locale","Jazyk rozhraní"
"Current User Identity Verification","Současné ověření identity uživatele"
"Your Password","Vaše heslo"
"Save Cache Settings","Uložit nastavení mezipaměti"
"Catalog Rewrites","Přepisy katalogu"
Refresh,Obnovit
"Images Cache","Mezipaměť obrázků"
Clear,Vymazat
"Search Index","Index vyhledávání"
Rebuild,Obnovit
"Inventory Stock Status","Stav skladových zásob"
"Rebuild Catalog Index","Obnovit index katalogu"
"Rebuild Flat Catalog Category","Obnovit sloučený katalog kategorií"
"Rebuild Flat Catalog Product","Obnovit sloučený katalog produktů"
"Cache Control","Řízení mezipaměti"
"All Cache","Všechny mezipaměti"
"No change","Beze změny"
Disable,Zakázat
Enable,Povolit
"Add Design Change","Přidat změnu vzhledu"
Delete,Smazat
Save,Uložit
"Edit Design Change","Upravit změnu vzhledu"
"New Store Design Change","Nová změna vzhledu obchodu"
"General Settings","Základní nastavení"
"-- Please Select --","-- Vyberte --"
"Custom Design","Vlastní vzhled"
"Date From",Od
"Date To","Do data"
"Design Change","Změna vzhledu"
General,Obecné
"Delete %1 '%2'","Odstranit %1 '%2'"
"Delete %1","Odstranit %1"
"Block Information","Údaje bloku"
"Backup Options","Možnosti zálohy"
"Create DB Backup","Vytvořit zálohu databáze"
"Delete Store","Odstranit obchod"
"Delete Web Site","Odstranit web"
"Save Web Site","Uložit web"
"Save Store","Uložit obchod"
"Save Store View","Uložit zobrazení obchodu"
"Delete Store View","Odstranit zobrazení obchodu"
"Edit Web Site","Upravit web"
"New Web Site","Nový web"
"Edit Store","Upravit obchod"
"New Store","Nový obchod"
"Edit Store View","Upravit zobrazení obchodu"
"New Store View","Nové zobrazení obchodu"
"Store Information","Údaje obchodu"
"Web Site",Web
Name,Jméno
Code,Kód
"Root Category","Hlavní kategorie"
"Default Store View","Výchozí zobrazení obchodu"
"Store View Information","Údaje zobrazení obchodu"
Disabled,Vypnuto
"Web Site Information","Údaje webu"
"Default Store","Výchozí obchod"
"Set as Default","Nastavit jako výchozí"
Stores,Obchody
"Create Website","Vytvořit web"
"Create Store","Vytvořit obchod"
"Create Store View","Vytvořit zobrazení obchodu"
Home,Úvod
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Add New Image","Přidat nový obrázek"
"Export block for grid %1 is not defined","Není určen blok exportu mřížky %1"
"Reset Filter","Obnovit filtr"
Search,Hledat
Any,Jakýkoliv
"All Countries","Všechny země"
From,Od
To,Pro
"Date selector","Výběr data"
"[ deleted ]","[ odstraněno ]"
"Select All","Vybrat vše"
" [deleted]"," [odstraněno]"
"We couldn't find any records.","Nebyly nalezeny žádné záznamy."
"Add New","Přidat nový"
"Invalid export type supplied for grid export block","Neplatný typ exportu pro exportovaný blok mřížky"
"Please correct the column format and try again.","Opravte formát sloupce prosím a zkuste to znovu."
Submit,Odeslat
"Unknown block type","Neznámý typ bloku"
"Please correct the tab configuration and try again. Tab Id should be not empty","Opravte prosím nastavení tabulky a zkuste to znovu. ID by nemělo být prázdné"
"Please correct the tab configuration and try again.","Opravte nastavení tabulky prosím a zkuste to znovu."
"You have logged out.","Jste odhlášen."
"The image cache was cleaned.","Mezipaměť obrázků byla obnovena."
"An error occurred while clearing the image cache.","Při obnovení mezipaměti obrázků nastala chyba."
"The JavaScript/CSS cache has been cleaned.","Mezipaměť JS/CSS souborů byla obnovena."
"An error occurred while clearing the JavaScript/CSS cache.","Při obnovení mezipaměti JS/CSS souborů nastala chyba."
"The static files cache has been cleaned.","Mezipaměť statických souborů byla obnovena."
"You flushed the cache storage.","Úložiště mezipaměti bylo vyprázdněno."
"The Magento cache storage has been flushed.","Úložiště mezipaměti Magenta bylo vyprázdněno."
"Cache Management","Správa mezipaměti"
"You can't change status of cache type(s) in production mode","Nemůžete změnit stav mezipaměti typů v režimu výroby"
"%1 cache type(s) disabled.","%1 mezipamět(í) bylo vypnuto."
"An error occurred while disabling cache.","Při vypnutí mezipaměti nastala chyba."
"%1 cache type(s) enabled.","%1 mezipamět(í) bylo zapnuto."
"An error occurred while enabling cache.","Při zapnutí mezipaměti nastala chyba."
"%1 cache type(s) refreshed.","%1 mezipamět(í) bylo obnoveno."
"An error occurred while refreshing cache.","Při obnovení mezipaměti nastala chyba."
Dashboard,Přehled
"We updated lifetime statistic.","Celkové přehledy byly obnoveny."
"We can't refresh lifetime statistics.","Celkové statistiky nelze obnovit."
"invalid request","neplatný požadavek"
"see error log for details","podrobnosti naleznete v protokolu chyb"
"Service unavailable: %1","Služba není k dispozici: %1"
"Access Denied.","Přístup odepřen."
"You need more permissions to do this.","K této činnosti potřebujete vyšší oprávnění."
"No search modules were registered","Nejsou registrovány žádné vyhledávací moduly"
"Please make sure that all global admin search modules are installed and activated.","Ujistěte se, že všechny globální vyhledávací moduly správy jsou nainstalovány a aktivovány."
"You saved the account.","Účet byl uložen."
"An error occurred while saving account.","Při ukládání účtu nastala chyba."
"You deleted the design change.","Změna vzhledu obchodu byla odstraněna."
"You can't delete the design change.","Změnu vzhledu obchodu nelze změnit."
"Store Design","Vzhled obchodu"
"Edit Store Design Change","Upravit změnu vzhledu obchodu"
"You saved the design change.","Změna vzhledu obchodu byla uložena."
System,Systém
"Manage Stores","Správa obchodů"
"The database was backed up.","Databáze byla zálohována."
"We can't create a backup right now. Please try again later.","Momentálně nelze zálohu vytvořit. Opakujte později prosím."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Odstraněním %1 nebudou smazány údaje přidružené k %1 (např. kategorie, produkty, atd.), ale %1 nebude možné obnovit. Před odstraněním %1 je doporučeno provést zálohu databáze."
"Something went wrong. Please try again.","Něco se nezdařilo. Zkuste to znovu."
"This store cannot be deleted.","Tento obchod nelze odstranit."
"You deleted the store.","Obchod byl odstraněn."
"Unable to delete the store. Please try again later.","Obchod nelze odstranit. Zkuste to později prosím."
"This store view cannot be deleted.","Toto zobrazení obchodu nelze odstranit."
"Store View","Zobrazení obchodu"
"You deleted the store view.","Zobrazení obchodu bylo odstraněno."
"Unable to delete the store view. Please try again later.","Zobrazení obchodu nelze odstranit. Zkuste to později prosím."
"This website cannot be deleted.","Tento web nelze odstranit."
"You deleted the website.","Web byl odstraněn."
"Unable to delete the website. Please try again later.","Web nelze odstranit. Zkuste to později prosím."
"The website does not exist.","Tento web neexistuje."
"Before modifying the website code please make sure it is not used in index.php.","Před změnou kódu webu se ujistěte, že není použit v index.php."
"The store does not exist","Tento obchod neexistuje"
"Store view doesn't exist","Zobrazení obchodu neexistuje"
"Before modifying the store view code please make sure it is not used in index.php.","Před změnou kódu zobrazení obchodu se ujistěte, že není použit v index.php."
"New ","Nový "
"All Stores","Všechny obchody"
"You saved the website.","Web byl uložen."
"The default store cannot be disabled","Výchozí obchod nelze vypnout"
"You saved the store view.","Zobrazení obchodu bylo uloženo."
"An inactive store view cannot be saved as default store view","Neaktivní obchod nelze uložit jako výchozí"
"You saved the store.","Obchod byl uložen."
"Something went wrong while saving. Please review the error log.","Při ukládání se něco se nezdařilo. Podívejte se do protokolu chyb."
"Authentication storage is incorrect.","Úložiště ověření je neplatné."
"Last 24 Hours","Posledních 24 hodin"
"Last 7 Days","Posledních 7 dní"
"Current Month","Aktuální měsíc"
YTD,"Od počátku roku"
2YTD,"2 roky zpět"
Order,Objednávka
"Order #%1","Objednávka č. %1"
"Sorry, you need permissions to view this content.","Pro zobrazení obsahu potřebujete vyšší oprávnění."
"Next steps","Další kroky"
"If you think this is an error, try signing out and signing in again.","Pokud se domníváte, že jde o chybu, zkuste se odhlásit a znovu přihlásit."
"Contact a system administrator or store owner to gain permissions.","Pro získání oprávnění se obraťte na správce systému nebo vlastníka."
"previous page","předchozí stránka"
"Welcome, please sign in","Vítejte, přihlaste se prosím"
Username,"Uživatelské jméno"
"user name","uživatelské jméno"
Password,Heslo
password,heslo
"Sign in",Přihlášení
"No Data Found","Data nenalezena"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Graf je vypnutý. Chcete-li jej povolit, klikněte <a href=""%1"">zde</a>."
"Select Range:","Zvolte rozsah:"
